si3406

Pin,Type,Name,Side
0,power_in,VNEG,bottom
1,tristate,FBH,left
2,tristate,EROUT,left
3,power_in,FBL,left
4,tristate,VDD,left
5,tristate,nSLEEP,bottom
6,tristate,RDET,bottom
7,tristate,HSO,bottom
8,tristate,RCL,bottom
9,tristate,RFREQ,bottom
10,tristate,SP2,bottom
11,power,SP1,right
12,tristate,VPOS,right
13,tristate,CT2,right
14,tristate,CT1,right
15,tristate,nT2P,top
16,tristate,SYNCL,top
17,tristate,V11,top
18,tristate,SWO,top
19,power,VSS,top
20,power_in,ISNS,top
